ntem_zone_id,lad_zone_id,lad_var,ntem_var,overlap_lad_split_factor,overlap_ntem_split_factor,overlap_type,overlap_var
1,347,228800,14153,0.061857517,1,ntem lad nest,14153
2,347,228800,6776,0.029615385,1,ntem lad nest,6776
3,347,228800,4449,0.01944493,1,ntem lad nest,4449
4,347,228800,3655,0.01597465,1,ntem lad nest,3655
5,347,228800,4663,0.020380245,1,ntem lad nest,4663
6,348,261800,10186,0.038907563,1,ntem lad nest,10186
7,348,261800,12748,0.048693659,1,ntem lad nest,12748
8,348,261800,4331,0.016543163,1,ntem lad nest,4331
9,348,261800,10808,0.041283422,1,ntem lad nest,10808
10,348,261800,3554,0.013575248,1,ntem lad nest,3554
11,348,261800,3907,0.014923606,1,ntem lad nest,3907
12,348,261800,16118,0.061566081,1,ntem lad nest,16118
13,348,261800,7966,0.030427807,1,ntem lad nest,7966
14,348,261800,10997,0.042005348,1,ntem lad nest,10997
15,348,261800,4608,0.017601222,1,ntem lad nest,4608
16,348,261800,11412,0.043590527,1,ntem lad nest,11412
17,348,261800,7114,0.027173415,1,ntem lad nest,7114
18,348,261800,4079,0.015580596,1,ntem lad nest,4079
19,354,116280,6031,0.051866185,1,ntem lad nest,6031
20,354,116280,10260,0.088235294,1,ntem lad nest,10260
21,354,116280,7370,0.063381493,1,ntem lad nest,7370
22,354,116280,11438,0.098366013,1,ntem lad nest,11438
23,354,116280,7561,0.06502408,1,ntem lad nest,7561
24,354,116280,14032,0.120674235,1,ntem lad nest,14032
25,349,86810,12310,0.14180394,1,ntem lad nest,12310
26,349,86810,8507,0.097995623,1,ntem lad nest,8507
27,349,86810,3622,0.041723304,1,ntem lad nest,3622
28,349,86810,4643,0.053484622,1,ntem lad nest,4643
29,349,86810,8032,0.092523903,1,ntem lad nest,8032
30,349,86810,12954,0.14922244,1,ntem lad nest,12954
31,342,115020,13889,0.120752913,1,ntem lad nest,13889
32,342,115020,3882,0.033750652,1,ntem lad nest,3882
33,342,115020,5630,0.048948009,1,ntem lad nest,5630
34,342,115020,8535,0.074204486,1,ntem lad nest,8535
35,342,115020,5560,0.048339419,1,ntem lad nest,5560
36,342,115020,3557,0.030925057,1,ntem lad nest,3557
37,342,115020,14460,0.125717267,1,ntem lad nest,14460
38,327,51450,13717,0.266608358,1,ntem lad nest,13717
39,327,51450,17742,0.34483965,1,ntem lad nest,17742
40,327,51450,4565,0.088726919,1,ntem lad nest,4565
41,327,51450,2275,0.044217687,1,ntem lad nest,2275
42,327,51450,5131,0.099727891,1,ntem lad nest,5131
43,327,51450,8020,0.155879495,1,ntem lad nest,8020
44,352,89610,8141,0.090849236,1,ntem lad nest,8141
45,352,89610,12657,0.141245397,1,ntem lad nest,12657
46,352,89610,8239,0.091942864,1,ntem lad nest,8239
47,352,89610,18825,0.210077,1,ntem lad nest,18825
48,352,89610,7683,0.085738199,1,ntem lad nest,7683
49,352,89610,3416,0.038120745,1,ntem lad nest,3416
50,352,89610,2075,0.023155898,1,ntem lad nest,2075
51,328,149200,7982,0.05349866,1,ntem lad nest,7982
52,328,149200,2931,0.019644772,1,ntem lad nest,2931
53,328,149200,7279,0.048786863,1,ntem lad nest,7279
54,328,149200,4248,0.02847185,1,ntem lad nest,4248
55,328,149200,4026,0.026983914,1,ntem lad nest,4026
56,328,149200,9854,0.066045576,1,ntem lad nest,9854
57,328,149200,3872,0.025951743,1,ntem lad nest,3872
58,328,149200,4156,0.027855228,1,ntem lad nest,4156
59,329,121940,3697,0.030318189,1,ntem lad nest,3697
60,329,121940,4772,0.039134,1,ntem lad nest,4772
61,329,121940,4584,0.037592258,1,ntem lad nest,4584
62,329,121940,3972,0.032573397,1,ntem lad nest,3972
63,329,121940,2675,0.021937018,1,ntem lad nest,2675
64,329,121940,2797,0.02293751,1,ntem lad nest,2797
65,329,121940,6586,0.054010169,1,ntem lad nest,6586
66,329,121940,8707,0.071403969,1,ntem lad nest,8707
67,329,121940,3843,0.031515499,1,ntem lad nest,3843
68,329,121940,3124,0.025619157,1,ntem lad nest,3124
69,357,108130,16530,0.152871544,1,ntem lad nest,16530
70,357,108130,17824,0.16483862,1,ntem lad nest,17824
71,357,108130,2606,0.02410062,1,ntem lad nest,2606
72,357,108130,5956,0.055081846,1,ntem lad nest,5956
73,357,108130,10843,0.100277444,1,ntem lad nest,10843
74,357,108130,3122,0.028872653,1,ntem lad nest,3122
75,330,104840,5843,0.055732545,1,ntem lad nest,5843
76,330,104840,9880,0.09423884,1,ntem lad nest,9880
77,330,104840,10538,0.100515071,1,ntem lad nest,10538
78,330,104840,5217,0.049761541,1,ntem lad nest,5217
79,330,104840,7926,0.075600916,1,ntem lad nest,7926
80,330,104840,9030,0.086131248,1,ntem lad nest,9030
81,331,94760,11156,0.117729,1,ntem lad nest,11156
82,331,94760,16682,0.176044745,1,ntem lad nest,16682
83,331,94760,1989,0.020989869,1,ntem lad nest,1989
84,331,94760,16221,0.171179823,1,ntem lad nest,16221
85,331,94760,3950,0.041684255,1,ntem lad nest,3950
86,350,513210,16267,0.031696576,1,ntem lad nest,16267
87,350,513210,2567,0.005001851,1,ntem lad nest,2567
88,350,513210,11131,0.021688977,1,ntem lad nest,11131
89,350,513210,6514,0.01269266,1,ntem lad nest,6514
90,333,160130,17239,0.107656279,1,ntem lad nest,17239
91,333,160130,3181,0.01986511,1,ntem lad nest,3181
92,333,160130,19669,0.122831449,1,ntem lad nest,19669
93,333,160130,14040,0.087678761,1,ntem lad nest,14040
94,333,160130,8681,0.054212203,1,ntem lad nest,8681
95,333,160130,5376,0.033572722,1,ntem lad nest,5376
96,333,160130,11417,0.07129832,1,ntem lad nest,11417
97,334,371410,4536,0.012212918,1,ntem lad nest,4536
98,334,371410,10016,0.026967502,1,ntem lad nest,10016
99,334,371410,8564,0.023058076,1,ntem lad nest,8564
100,334,371410,9621,0.025903988,1,ntem lad nest,9621
101,334,371410,3662,0.009859724,1,ntem lad nest,3662
102,334,371410,5973,0.016081958,1,ntem lad nest,5973
103,334,371410,5193,0.013981853,1,ntem lad nest,5193
104,334,371410,4582,0.012336771,1,ntem lad nest,4582
105,334,371410,2427,0.006534557,1,ntem lad nest,2427
106,334,371410,5056,0.013612988,1,ntem lad nest,5056
107,334,371410,7353,0.019797528,1,ntem lad nest,7353
108,334,371410,6931,0.018661318,1,ntem lad nest,6931
109,334,371410,4284,0.011534423,1,ntem lad nest,4284
110,334,371410,3838,0.010333594,1,ntem lad nest,3838
111,334,371410,13588,0.036584906,1,ntem lad nest,13588
112,334,371410,17566,0.047295442,1,ntem lad nest,17566
113,334,371410,3781,0.010180124,1,ntem lad nest,3781
114,334,371410,15064,0.040558951,1,ntem lad nest,15064
115,334,371410,5001,0.013464904,1,ntem lad nest,5001
116,335,235180,5936,0.025240242,1,ntem lad nest,5936
117,335,235180,7149,0.030397993,1,ntem lad nest,7149
118,335,235180,5421,0.023050429,1,ntem lad nest,5421
119,335,235180,9569,0.040687984,1,ntem lad nest,9569
120,335,235180,4295,0.018262607,1,ntem lad nest,4295
121,335,235180,8602,0.036576239,1,ntem lad nest,8602
122,335,235180,2629,0.011178672,1,ntem lad nest,2629
123,335,235180,7243,0.030797687,1,ntem lad nest,7243
124,335,235180,6179,0.026273493,1,ntem lad nest,6179
125,335,235180,6746,0.028684412,1,ntem lad nest,6746
126,336,78760,10055,0.127666328,1,ntem lad nest,10055
127,336,78760,10188,0.129355003,1,ntem lad nest,10188
128,336,78760,2581,0.032770442,1,ntem lad nest,2581
129,336,78760,14759,0.187392077,1,ntem lad nest,14759
130,337,90090,14377,0.15958486,1,ntem lad nest,14377
131,337,90090,9412,0.104473304,1,ntem lad nest,9412
132,337,90090,5534,0.061427461,1,ntem lad nest,5534
133,337,90090,5778,0.064135864,1,ntem lad nest,5778
134,337,90090,12970,0.143967144,1,ntem lad nest,12970
135,337,90090,12971,0.143978244,1,ntem lad nest,12971
136,338,95780,8201,0.085623303,1,ntem lad nest,8201
137,338,95780,4591,0.047932763,1,ntem lad nest,4591
138,338,95780,7752,0.080935477,1,ntem lad nest,7752
139,338,95780,6854,0.071559825,1,ntem lad nest,6854
140,339,135790,15881,0.116952647,1,ntem lad nest,15881
141,339,135790,5888,0.043361072,1,ntem lad nest,5888
142,339,135790,10536,0.077590397,1,ntem lad nest,10536
143,339,135790,15442,0.113719714,1,ntem lad nest,15442
144,339,135790,10329,0.076065984,1,ntem lad nest,10329
145,339,135790,12252,0.090227557,1,ntem lad nest,12252
146,339,135790,8247,0.060733486,1,ntem lad nest,8247
147,339,135790,4696,0.034582812,1,ntem lad nest,4696
148,339,135790,6022,0.04434789,1,ntem lad nest,6022
149,339,135790,5267,0.038787834,1,ntem lad nest,5267
150,339,135790,4818,0.035481258,1,ntem lad nest,4818
151,339,135790,6271,0.046181604,1,ntem lad nest,6271
152,356,339960,3841,0.011298388,1,ntem lad nest,3841
153,356,339960,6607,0.019434639,1,ntem lad nest,6607
154,356,339960,5316,0.015637134,1,ntem lad nest,5316
155,356,339960,9105,0.026782563,1,ntem lad nest,9105
156,356,339960,5236,0.015401812,1,ntem lad nest,5236
157,356,339960,6683,0.019658195,1,ntem lad nest,6683
158,356,339960,6098,0.017937404,1,ntem lad nest,6098
159,356,339960,4887,0.014375221,1,ntem lad nest,4887
160,356,339960,6312,0.01856689,1,ntem lad nest,6312
161,356,339960,5812,0.017096129,1,ntem lad nest,5812
162,356,339960,16368,0.048146841,1,ntem lad nest,16368
163,340,22000,15907,0.723045455,1,ntem lad nest,15907
164,340,22000,6093,0.276954545,1,ntem lad nest,6093
165,341,151100,7189,0.047577763,1,ntem lad nest,7189
166,341,151100,4906,0.032468564,1,ntem lad nest,4906
167,341,151100,4211,0.027868961,1,ntem lad nest,4211
168,341,151100,4157,0.027511582,1,ntem lad nest,4157
169,341,151100,8617,0.057028458,1,ntem lad nest,8617
170,351,176830,17608,0.095272295,1,ntem lad nest,16847
171,351,176830,4432,0.02506362,1,ntem lad nest,4432
172,351,176830,3237,0.018305717,1,ntem lad nest,3237
173,351,176830,8021,0.04535995,1,ntem lad nest,8021
174,351,176830,4075,0.023044732,1,ntem lad nest,4075
175,351,176830,4400,0.024882656,1,ntem lad nest,4400
176,351,176830,13790,0.077984505,1,ntem lad nest,13790
177,351,176830,6421,0.036311712,1,ntem lad nest,6421
178,351,176830,15857,0.089673698,1,ntem lad nest,15857
179,343,23080,17779,0.770320624,1,ntem lad nest,17779
180,343,23080,5301,0.229679376,1,ntem lad nest,5301
181,344,112680,14534,0.128984736,1,ntem lad nest,14534
182,344,112680,13929,0.123615548,1,ntem lad nest,13929
183,344,112680,6489,0.057587859,1,ntem lad nest,6489
184,344,112680,3934,0.034913028,1,ntem lad nest,3934
185,345,318170,18979,0.059650501,1,ntem lad nest,18979
186,345,318170,4282,0.013458214,1,ntem lad nest,4282
187,345,318170,7546,0.023716881,1,ntem lad nest,7546
188,345,318170,15106,0.047477763,1,ntem lad nest,15106
189,345,318170,3808,0.011968445,1,ntem lad nest,3808
190,345,318170,4936,0.015513719,1,ntem lad nest,4936
191,345,318170,6872,0.021598517,1,ntem lad nest,6872
192,345,318170,7046,0.022145394,1,ntem lad nest,7046
193,345,318170,16240,0.051041896,1,ntem lad nest,16240
194,345,318170,5910,0.018574976,1,ntem lad nest,5910
195,345,318170,12677,0.03984348,1,ntem lad nest,12677
196,346,94000,8505,0.090478723,1,ntem lad nest,8505
197,346,94000,7806,0.083042553,1,ntem lad nest,7806
198,346,94000,4367,0.046457447,1,ntem lad nest,4367
199,353,181310,4804,0.026496056,1,ntem lad nest,4804
200,353,181310,12506,0.068975787,1,ntem lad nest,12506
201,353,181310,10803,0.059583035,1,ntem lad nest,10803
202,353,181310,9570,0.052782527,1,ntem lad nest,9570
203,353,181310,17049,0.09403232,1,ntem lad nest,17049
204,353,181310,3995,0.022034085,1,ntem lad nest,3995
205,353,181310,14365,0.079228945,1,ntem lad nest,14365
206,353,181310,5033,0.027759087,1,ntem lad nest,5033
207,332,26950,4947,0.183562152,1,ntem lad nest,4947
208,358,621020,16475,0.026528936,1,ntem lad nest,16475
209,358,621020,16290,0.026231039,1,ntem lad nest,16290
210,358,621020,14670,0.023622428,1,ntem lad nest,14670
