,norms_zone_id,2050,sector_id
3792,80,3564.4861193906245,3.0
3793,80,2776.0915828358675,3.0
3794,80,7028.652490299164,3.0
4080,86,3627.768216605031,3.0
4081,86,2072.1066351262316,3.0
4082,86,5090.518208412894,3.0
8208,172,3767.864134871209,1.0
8209,172,3350.2609693130125,1.0
8210,172,7417.1080131167055,1.0
8400,176,3118.232112986276,1.0
8401,176,2547.759990365437,1.0
8402,176,5631.5315746080905,1.0
9552,200,2376.168231003634,21.0
9553,200,2064.067508901584,21.0
9554,200,5083.427664898909,21.0
10464,219,4269.292400356907,1.0
10465,219,2799.7120857000646,1.0
10466,219,7184.587969516723,1.0
11232,235,1502.8212281966387,1.0
11233,235,1029.1037936908199,1.0
11234,235,2624.7154432843254,1.0
12096,253,1833.3724996741753,1.0
12097,253,1343.9903999515307,1.0
12098,253,3569.1435670529954,1.0
12144,254,8502.622915818753,1.0
12145,254,8120.481263515859,1.0
12146,254,11632.978646049367,1.0
12192,255,9880.977767770779,1.0
12193,255,7541.106534420063,1.0
12194,255,15024.93210679682,1.0
12864,269,1660.0511858539799,8.0
12865,269,1263.5671023316268,8.0
12866,269,2394.388174666789,8.0
12912,270,2979.8174470572985,1.0
12913,270,2127.936279606401,1.0
12914,270,4348.516333907342,1.0
13152,275,4921.549820383923,1.0
13153,275,4069.437051258513,1.0
13154,275,7443.39937500434,1.0
13248,277,2643.2551226919713,1.0
13249,277,1400.9016411642835,1.0
13250,277,3128.425732310813,1.0
13872,290,3384.5651992297817,1.0
13873,290,2056.9681305456998,1.0
13874,290,4497.984791975547,1.0
14496,303,4628.786442559967,4.0
14497,303,3362.649034730728,4.0
14498,303,8314.13990865799,4.0
15408,322,1741.6443394062458,1.0
15409,322,1351.997092468995,1.0
15410,322,1988.9999115987994,1.0
15888,332,18570.859614583253,1.0
15889,332,12647.883992609415,1.0
15890,332,29833.288787055502,1.0
15984,334,6449.852103139123,1.0
15985,334,5872.316818123047,1.0
15986,334,10702.857943910722,1.0
16656,348,1280.646934509312,1.0
16657,348,1036.0372292716913,1.0
16658,348,2324.859840659973,1.0
16848,352,1394.7743155138876,1.0
16849,352,935.1514020907707,1.0
16850,352,2297.2863214637655,1.0
21024,439,979.3242460839319,10.0
21025,439,677.8961410431407,10.0
21026,439,1776.187580612449,10.0
21360,446,7071.31070716614,10.0
21361,446,5805.484849299547,10.0
21362,446,16542.293953278837,10.0
22128,462,913.2037712637089,10.0
22129,462,635.6227587899127,10.0
22130,462,1762.9157054557015,10.0
22800,476,2788.3390432982537,12.0
22801,476,1952.0405259172708,12.0
22802,476,5726.0773291620235,12.0
24048,502,3750.8911659476626,10.0
24049,502,3847.057734310431,10.0
24050,502,7084.570699075238,10.0
24672,515,579.9964901014924,11.0
24673,515,487.5604182939144,11.0
24674,515,1222.5513185744323,11.0
24720,516,2640.376662056773,18.0
24721,516,2274.0993512402574,18.0
24722,516,5788.088380902309,18.0
24768,517,4873.967279104697,10.0
24769,517,4494.731749256074,10.0
24770,517,9442.60944236508,10.0
25488,532,2693.50052282093,10.0
25489,532,1688.4604202168048,10.0
25490,532,5759.096224962112,10.0
26160,546,3257.5488438494604,10.0
26161,546,2137.384252119444,10.0
26162,546,6433.330619783756,10.0
26304,549,3963.4178066785894,10.0
26305,549,4223.460599442353,10.0
26306,549,7704.325385890041,10.0
28080,586,3338.8412449817997,11.0
28081,586,2164.0812167867307,11.0
28082,586,5818.137080055314,11.0
28656,598,1916.1598272468273,10.0
28657,598,1614.2129392165643,10.0
28658,598,4538.471454260833,10.0
30384,634,1925.1295976796666,10.0
30385,634,1160.9402451970943,10.0
30386,634,3289.64961726018,10.0
30480,636,1213.4656602129892,11.0
30481,636,1114.541141371228,11.0
30482,636,3216.820703447366,11.0
30960,646,157.95583231723452,11.0
30961,646,130.34685696371926,11.0
30962,646,350.72748621493884,11.0
31392,655,1222.1284005364528,11.0
31393,655,861.1680837411362,11.0
31394,655,2376.5827133176526,11.0
31728,662,5617.157227369157,12.0
31729,662,3872.606477673137,12.0
31730,662,9871.249691498931,12.0
32160,671,1438.8327935791165,18.0
32161,671,1074.6871578989258,18.0
32162,671,2905.9391060150056,18.0
32688,682,5989.479450541408,11.0
32689,682,5457.706896780661,11.0
32690,682,10854.553709414227,11.0
33504,699,2251.7399548551884,17.0
33505,699,1829.3109327463728,17.0
33506,699,3613.9416530104477,17.0
36672,765,66878.13562216454,26.0
36673,765,55112.65488720255,26.0
36674,765,109502.16522632068,26.0
36816,768,12606.21514122593,26.0
36817,768,9349.129543963092,26.0
36818,768,21732.114200632575,26.0
36960,771,2753.713628795868,28.0
36961,771,2029.8985520279386,28.0
36962,771,5586.291240209947,28.0
38016,793,4734.526098553685,28.0
38017,793,4838.8266789862655,28.0
38018,793,8137.006983745885,28.0
38496,803,9397.369444705711,9.0
38497,803,6867.375846390615,9.0
38498,803,17312.581196541094,9.0
