tfn_at,nhb_p,nhb_m,tp
1,12,1,1
1,12,1,2
1,12,1,3
1,12,1,4
1,12,1,5
1,12,1,6
2,12,1,1
2,12,1,2
2,12,1,3
2,12,1,4
2,12,1,5
2,12,1,6
3,12,1,1
3,12,1,2
3,12,1,3
3,12,1,4
3,12,1,5
3,12,1,6
4,12,1,1
4,12,1,2
4,12,1,3
4,12,1,4
4,12,1,5
4,12,1,6
5,12,1,1
5,12,1,2
5,12,1,3
5,12,1,4
5,12,1,5
5,12,1,6
6,12,1,1
6,12,1,2
6,12,1,3
6,12,1,4
6,12,1,5
6,12,1,6
7,12,1,1
7,12,1,2
7,12,1,3
7,12,1,4
7,12,1,5
7,12,1,6
8,12,1,1
8,12,1,2
8,12,1,3
8,12,1,4
8,12,1,5
8,12,1,6
1,12,2,1
1,12,2,2
1,12,2,3
1,12,2,4
1,12,2,5
1,12,2,6
2,12,2,1
2,12,2,2
2,12,2,3
2,12,2,4
2,12,2,5
2,12,2,6
3,12,2,1
3,12,2,2
3,12,2,3
3,12,2,4
3,12,2,5
3,12,2,6
4,12,2,1
4,12,2,2
4,12,2,3
4,12,2,4
4,12,2,5
4,12,2,6
5,12,2,1
5,12,2,2
5,12,2,3
5,12,2,4
5,12,2,5
5,12,2,6
6,12,2,1
6,12,2,2
6,12,2,3
6,12,2,4
6,12,2,5
6,12,2,6
7,12,2,1
7,12,2,2
7,12,2,3
7,12,2,4
7,12,2,5
7,12,2,6
8,12,2,1
8,12,2,2
8,12,2,3
8,12,2,4
8,12,2,5
8,12,2,6
1,12,3,1
1,12,3,2
1,12,3,3
1,12,3,4
1,12,3,5
1,12,3,6
2,12,3,1
2,12,3,2
2,12,3,3
2,12,3,4
2,12,3,5
2,12,3,6
3,12,3,1
3,12,3,2
3,12,3,3
3,12,3,4
3,12,3,5
3,12,3,6
4,12,3,1
4,12,3,2
4,12,3,3
4,12,3,4
4,12,3,5
4,12,3,6
5,12,3,1
5,12,3,2
5,12,3,3
5,12,3,4
5,12,3,5
5,12,3,6
6,12,3,1
6,12,3,2
6,12,3,3
6,12,3,4
6,12,3,5
6,12,3,6
7,12,3,1
7,12,3,2
7,12,3,3
7,12,3,4
7,12,3,5
7,12,3,6
8,12,3,1
8,12,3,2
8,12,3,3
8,12,3,4
8,12,3,5
8,12,3,6
1,12,5,1
1,12,5,2
1,12,5,3
1,12,5,4
1,12,5,5
1,12,5,6
2,12,5,1
2,12,5,2
2,12,5,3
2,12,5,4
2,12,5,5
2,12,5,6
3,12,5,1
3,12,5,2
3,12,5,3
3,12,5,4
3,12,5,5
3,12,5,6
4,12,5,1
4,12,5,2
4,12,5,3
4,12,5,4
4,12,5,5
4,12,5,6
5,12,5,1
5,12,5,2
5,12,5,3
5,12,5,4
5,12,5,5
5,12,5,6
6,12,5,1
6,12,5,2
6,12,5,3
6,12,5,4
6,12,5,5
6,12,5,6
7,12,5,1
7,12,5,2
7,12,5,3
7,12,5,4
7,12,5,5
7,12,5,6
8,12,5,1
8,12,5,2
8,12,5,3
8,12,5,4
8,12,5,5
8,12,5,6
1,12,6,1
1,12,6,2
1,12,6,3
1,12,6,4
1,12,6,5
1,12,6,6
2,12,6,1
2,12,6,2
2,12,6,3
2,12,6,4
2,12,6,5
2,12,6,6
3,12,6,1
3,12,6,2
3,12,6,3
3,12,6,4
3,12,6,5
3,12,6,6
4,12,6,1
4,12,6,2
4,12,6,3
4,12,6,4
4,12,6,5
4,12,6,6
5,12,6,1
5,12,6,2
5,12,6,3
5,12,6,4
5,12,6,5
5,12,6,6
6,12,6,1
6,12,6,2
6,12,6,3
6,12,6,4
6,12,6,5
6,12,6,6
7,12,6,1
7,12,6,2
7,12,6,3
7,12,6,4
7,12,6,5
7,12,6,6
8,12,6,1
8,12,6,2
8,12,6,3
8,12,6,4
8,12,6,5
8,12,6,6
1,13,1,1
1,13,1,2
1,13,1,3
1,13,1,4
1,13,1,5
1,13,1,6
2,13,1,1
2,13,1,2
2,13,1,3
2,13,1,4
2,13,1,5
2,13,1,6
3,13,1,1
3,13,1,2
3,13,1,3
3,13,1,4
3,13,1,5
3,13,1,6
4,13,1,1
4,13,1,2
4,13,1,3
4,13,1,4
4,13,1,5
4,13,1,6
5,13,1,1
5,13,1,2
5,13,1,3
5,13,1,4
5,13,1,5
5,13,1,6
6,13,1,1
6,13,1,2
6,13,1,3
6,13,1,4
6,13,1,5
6,13,1,6
7,13,1,1
7,13,1,2
7,13,1,3
7,13,1,4
7,13,1,5
7,13,1,6
8,13,1,1
8,13,1,2
8,13,1,3
8,13,1,4
8,13,1,5
8,13,1,6
1,13,2,1
1,13,2,2
1,13,2,3
1,13,2,4
1,13,2,5
1,13,2,6
2,13,2,1
2,13,2,2
2,13,2,3
2,13,2,4
2,13,2,5
2,13,2,6
3,13,2,1
3,13,2,2
3,13,2,3
3,13,2,4
3,13,2,5
3,13,2,6
4,13,2,1
4,13,2,2
4,13,2,3
4,13,2,4
4,13,2,5
4,13,2,6
5,13,2,1
5,13,2,2
5,13,2,3
5,13,2,4
5,13,2,5
5,13,2,6
6,13,2,1
6,13,2,2
6,13,2,3
6,13,2,4
6,13,2,5
6,13,2,6
7,13,2,1
7,13,2,2
7,13,2,3
7,13,2,4
7,13,2,5
7,13,2,6
8,13,2,1
8,13,2,2
8,13,2,3
8,13,2,4
8,13,2,5
8,13,2,6
1,13,3,1
1,13,3,2
1,13,3,3
1,13,3,4
1,13,3,5
1,13,3,6
2,13,3,1
2,13,3,2
2,13,3,3
2,13,3,4
2,13,3,5
2,13,3,6
3,13,3,1
3,13,3,2
3,13,3,3
3,13,3,4
3,13,3,5
3,13,3,6
4,13,3,1
4,13,3,2
4,13,3,3
4,13,3,4
4,13,3,5
4,13,3,6
5,13,3,1
5,13,3,2
5,13,3,3
5,13,3,4
5,13,3,5
5,13,3,6
6,13,3,1
6,13,3,2
6,13,3,3
6,13,3,4
6,13,3,5
6,13,3,6
7,13,3,1
7,13,3,2
7,13,3,3
7,13,3,4
7,13,3,5
7,13,3,6
8,13,3,1
8,13,3,2
8,13,3,3
8,13,3,4
8,13,3,5
8,13,3,6
1,13,5,1
1,13,5,2
1,13,5,3
1,13,5,4
1,13,5,5
1,13,5,6
2,13,5,1
2,13,5,2
2,13,5,3
2,13,5,4
2,13,5,5
2,13,5,6
3,13,5,1
3,13,5,2
3,13,5,3
3,13,5,4
3,13,5,5
3,13,5,6
4,13,5,1
4,13,5,2
4,13,5,3
4,13,5,4
4,13,5,5
4,13,5,6
5,13,5,1
5,13,5,2
5,13,5,3
5,13,5,4
5,13,5,5
5,13,5,6
