p,e_cat,soc
1,E01,1
1,E03,1
1,E04,1
1,E05,1
1,E06,1
1,E07A,1
1,E07B,1
1,E07C,1
1,E07D,1
1,E08,1
1,E09,1
1,E10,1
1,E11,1
1,E12,1
1,E13,1
1,E14,1
1,E01,2
1,E03,2
1,E04,2
1,E05,2
1,E06,2
1,E07A,2
1,E07B,2
1,E07C,2
1,E07D,2
1,E08,2
1,E09,2
1,E10,2
1,E11,2
1,E12,2
1,E13,2
1,E14,2
1,E01,3
1,E03,3
1,E04,3
1,E05,3
1,E06,3
1,E07A,3
1,E07B,3
1,E07C,3
1,E07D,3
1,E08,3
1,E09,3
1,E10,3
1,E11,3
1,E12,3
1,E13,3
1,E14,3
2,E01,1
2,E03,1
2,E04,1
2,E05,1
2,E06,1
2,E07A,1
2,E07B,1
2,E07C,1
2,E07D,1
2,E08,1
2,E09,1
2,E10,1
2,E11,1
2,E12,1
2,E13,1
2,E14,1
2,E01,2
2,E03,2
2,E04,2
2,E05,2
2,E06,2
2,E07A,2
2,E07B,2
2,E07C,2
2,E07D,2
2,E08,2
2,E09,2
2,E10,2
2,E11,2
2,E12,2
2,E13,2
2,E14,2
2,E01,3
2,E03,3
2,E04,3
2,E05,3
2,E06,3
2,E07A,3
2,E07B,3
2,E07C,3
2,E07D,3
2,E08,3
2,E09,3
2,E10,3
2,E11,3
2,E12,3
2,E13,3
2,E14,3
3,E01,1
3,E03,1
3,E04,1
3,E05,1
3,E06,1
3,E07A,1
3,E07B,1
3,E07C,1
3,E07D,1
3,E08,1
3,E09,1
3,E10,1
3,E11,1
3,E12,1
3,E13,1
3,E14,1
3,E01,2
3,E03,2
3,E04,2
3,E05,2
3,E06,2
3,E07A,2
3,E07B,2
3,E07C,2
3,E07D,2
3,E08,2
3,E09,2
3,E10,2
3,E11,2
3,E12,2
3,E13,2
3,E14,2
3,E01,3
3,E03,3
3,E04,3
3,E05,3
3,E06,3
3,E07A,3
3,E07B,3
3,E07C,3
3,E07D,3
3,E08,3
3,E09,3
3,E10,3
3,E11,3
3,E12,3
3,E13,3
3,E14,3
4,E01,1
4,E03,1
4,E04,1
4,E05,1
4,E06,1
4,E07A,1
4,E07B,1
4,E07C,1
4,E07D,1
4,E08,1
4,E09,1
4,E10,1
4,E11,1
4,E12,1
4,E13,1
4,E14,1
4,E01,2
4,E03,2
4,E04,2
4,E05,2
4,E06,2
4,E07A,2
4,E07B,2
4,E07C,2
4,E07D,2
4,E08,2
4,E09,2
4,E10,2
4,E11,2
4,E12,2
4,E13,2
4,E14,2
4,E01,3
4,E03,3
4,E04,3
4,E05,3
4,E06,3
4,E07A,3
4,E07B,3
4,E07C,3
4,E07D,3
4,E08,3
4,E09,3
4,E10,3
4,E11,3
4,E12,3
4,E13,3
4,E14,3
5,E01,1
5,E03,1
5,E04,1
5,E05,1
5,E06,1
5,E07A,1
5,E07B,1
5,E07C,1
5,E07D,1
5,E08,1
5,E09,1
5,E10,1
5,E11,1
5,E12,1
5,E13,1
5,E14,1
5,E01,2
5,E03,2
5,E04,2
5,E05,2
5,E06,2
5,E07A,2
5,E07B,2
5,E07C,2
5,E07D,2
5,E08,2
5,E09,2
5,E10,2
5,E11,2
5,E12,2
5,E13,2
5,E14,2
5,E01,3
5,E03,3
5,E04,3
5,E05,3
5,E06,3
5,E07A,3
5,E07B,3
5,E07C,3
5,E07D,3
5,E08,3
5,E09,3
5,E10,3
5,E11,3
5,E12,3
5,E13,3
5,E14,3
6,E01,1
6,E03,1
6,E04,1
6,E05,1
6,E06,1
6,E07A,1
6,E07B,1
6,E07C,1
6,E07D,1
6,E08,1
6,E09,1
6,E10,1
6,E11,1
6,E12,1
6,E13,1
6,E14,1
6,E01,2
6,E03,2
6,E04,2
6,E05,2
6,E06,2
6,E07A,2
6,E07B,2
6,E07C,2
6,E07D,2
6,E08,2
6,E09,2
6,E10,2
6,E11,2
6,E12,2
6,E13,2
6,E14,2
6,E01,3
6,E03,3
6,E04,3
6,E05,3
6,E06,3
6,E07A,3
6,E07B,3
6,E07C,3
6,E07D,3
6,E08,3
6,E09,3
6,E10,3
6,E11,3
6,E12,3
6,E13,3
6,E14,3
7,E01,1
7,E03,1
7,E04,1
7,E05,1
7,E06,1
7,E07A,1
7,E07B,1
7,E07C,1
7,E07D,1
7,E08,1
7,E09,1
7,E10,1
7,E11,1
7,E12,1
7,E13,1
7,E14,1
7,E01,2
7,E03,2
7,E04,2
7,E05,2
7,E06,2
7,E07A,2
7,E07B,2
7,E07C,2
7,E07D,2
7,E08,2
7,E09,2
7,E10,2
7,E11,2
7,E12,2
7,E13,2
7,E14,2
7,E01,3
7,E03,3
7,E04,3
7,E05,3
7,E06,3
7,E07A,3
7,E07B,3
7,E07C,3
7,E07D,3
7,E08,3
7,E09,3
7,E10,3
7,E11,3
7,E12,3
7,E13,3
7,E14,3
8,E01,1
8,E03,1
8,E04,1
8,E05,1
8,E06,1
8,E07A,1
8,E07B,1
8,E07C,1
8,E07D,1
8,E08,1
8,E09,1
8,E10,1
8,E11,1
8,E12,1
8,E13,1
8,E14,1
8,E01,2
8,E03,2
8,E04,2
8,E05,2
8,E06,2
8,E07A,2
8,E07B,2
8,E07C,2
8,E07D,2
8,E08,2
8,E09,2
8,E10,2
8,E11,2
8,E12,2
8,E13,2
8,E14,2
8,E01,3
8,E03,3
8,E04,3
8,E05,3
8,E06,3
8,E07A,3
8,E07B,3
8,E07C,3
8,E07D,3
8,E08,3
8,E09,3
8,E10,3
8,E11,3
8,E12,3
8,E13,3
8,E14,3
