tfn_ca_sectors_zone_id,msoa_zone_id,tfn_ca_sectors_to_msoa,msoa_to_tfn_ca_sectors
1,E02000984,0.006190212,1
1,E02000985,0.002898043,1
1,E02000986,0.001507034,1
1,E02000987,0.001225154,1
1,E02000988,0.00152929,1
1,E02000989,0.006582882,1
1,E02000990,0.007397362,1
1,E02000991,0.005451911,1
1,E02000992,0.006920267,1
1,E02000993,0.001424325,1
1,E02000994,0.000893959,1
1,E02000995,0.004526348,1
1,E02000996,0.001360589,1
1,E02000997,0.008073739,1
1,E02000998,0.000981402,1
1,E02000999,0.00252875,1
1,E02001000,0.001644362,1
1,E02001001,0.001538859,1
1,E02001002,0.003004914,1
1,E02001003,0.003078996,1
1,E02001004,0.00075379,1
1,E02001005,0.001973172,1
1,E02001006,0.000688043,1
1,E02001007,0.002298192,1
1,E02001008,0.00100007,1
1,E02001009,0.005099618,1
1,E02001010,0.001861428,1
1,E02001011,0.003907952,1
1,E02001012,0.001356171,1
1,E02001013,0.004458114,1
1,E02001014,0.005636768,1
1,E02001015,0.001582409,1
1,E02001016,0.001381647,1
1,E02001017,0.00515811,1
1,E02001018,0.003646543,1
1,E02001019,0.008891134,1
1,E02001020,0.001727656,1
1,E02001021,0.009518662,1
1,E02001022,0.003972441,1
1,E02001023,0.00181793,1
1,E02001024,0.001869172,1
1,E02001025,0.0033729,1
1,E02001026,0.001839288,1
1,E02001027,0.001449804,1
1,E02001028,0.002278408,1
1,E02001029,0.001630279,1
1,E02001030,0.005193792,1
1,E02001031,0.004175382,1
1,E02001032,0.002465272,1
1,E02001033,0.002107183,1
1,E02001034,0.00137016,1
1,E02001035,0.004294184,1
1,E02001036,0.003773416,1
1,E02001037,0.004311559,1
1,E02001038,0.001547694,1
1,E02001039,0.001295232,1
1,E02001040,0.00318851,1
1,E02001041,0.0009492,1
1,E02001042,0.001139997,1
1,E02001043,0.002778294,1
1,E02001044,0.001005959,1
1,E02001045,0.001896556,1
1,E02001046,0.00193841,1
1,E02001047,0.001836582,1
1,E02001048,0.003721209,1
1,E02001049,0.00168947,1
1,E02001050,0.001310639,1
1,E02001051,0.001063632,1
1,E02001052,0.00158323,1
1,E02001053,0.002142564,1
1,E02001055,0.002684743,1
1,E02001056,0.001428527,1
1,E02001057,0.001840403,1
1,E02001059,0.002888718,1
1,E02001061,0.001511756,1
1,E02001062,0.002025993,1
1,E02001063,0.001342648,1
1,E02001064,0.002041363,1
1,E02001065,0.001506818,1
1,E02001066,0.000885658,1
1,E02001067,0.001345495,1
1,E02001068,0.000988871,1
1,E02001069,0.000685275,1
1,E02001070,0.001208142,1
1,E02001071,0.001121408,1
1,E02001072,0.000854009,1
1,E02001073,0.001042334,1
1,E02001074,0.001520418,1
1,E02001075,0.000925853,1
1,E02001076,0.001064922,1
1,E02001077,0.001015119,1
1,E02001078,0.001294072,1
1,E02001079,0.001332789,1
1,E02001080,0.00080398,1
1,E02001081,0.001737614,1
1,E02001082,0.000695953,1
1,E02001083,0.001115257,1
1,E02001084,0.001079354,1
1,E02001085,0.001063806,1
1,E02001086,0.001646849,1
1,E02001087,0.001591595,1
1,E02001088,0.001301933,1
1,E02001089,0.002055378,1
1,E02001090,0.002949962,1
1,E02001091,0.001427681,1
1,E02001092,0.002184644,1
1,E02001093,0.001537213,1
1,E02001094,0.001299938,1
1,E02001095,0.002248222,1
1,E02001096,0.002577279,1
1,E02001097,0.006611875,1
1,E02001098,0.002914844,1
1,E02001099,0.001191885,1
1,E02001100,0.004842763,1
1,E02001101,0.002279291,1
1,E02001102,0.001279383,1
1,E02001103,0.026856007,1
1,E02001104,0.003067201,1
1,E02001105,0.002017413,1
1,E02001106,0.001970814,1
1,E02001107,0.002049041,1
1,E02001108,0.001157391,1
1,E02001109,0.001276141,1
1,E02001110,0.008865033,1
1,E02001111,0.001396352,1
1,E02001112,0.002744276,1
1,E02001113,0.001237558,1
1,E02001114,0.001494918,1
1,E02001115,0.001103837,1
1,E02001116,0.000952918,1
1,E02001117,0.021573483,1
1,E02001118,0.002153421,1
1,E02001119,0.001409864,1
1,E02001121,0.001031878,1
1,E02001123,0.00259263,1
1,E02001124,0.000769395,1
1,E02001125,0.001905516,1
1,E02001126,0.001600127,1
1,E02001127,0.001237773,1
1,E02001128,0.001357273,1
1,E02001129,0.001242189,1
1,E02001130,0.003799183,1
1,E02001131,0.000833201,1
1,E02001132,0.008025835,1
1,E02001133,0.010176312,1
1,E02001134,0.014377535,1
1,E02001135,0.001260492,1
1,E02001136,0.00277854,1
1,E02001137,0.021897571,1
1,E02001138,0.002749979,1
1,E02001139,0.001440455,1
1,E02001140,0.001605479,1
1,E02001141,0.002336295,1
1,E02001142,0.002171248,1
1,E02001143,0.001701034,1
1,E02001144,0.00291277,1
1,E02001145,0.013093465,1
1,E02001146,0.001189049,1
1,E02001147,0.00365139,1
1,E02001148,0.004613054,1
1,E02001149,0.001906276,1
1,E02001150,0.003771056,1
1,E02001151,0.006687932,1
1,E02001152,0.005454931,1
1,E02001153,0.003726513,1
1,E02001154,0.001671901,1
1,E02001155,0.002517778,1
1,E02001156,0.002168357,1
1,E02001157,0.001605501,1
1,E02001158,0.000945754,1
1,E02001159,0.002555761,1
1,E02001160,0.002020536,1
1,E02001161,0.001995521,1
1,E02001162,0.001301771,1
1,E02001163,0.002433243,1
1,E02001164,0.003417871,1
1,E02001165,0.001504614,1
1,E02001166,0.001002492,1
1,E02001167,0.001600745,1
1,E02001168,0.002086694,1
1,E02001169,0.008746763,1
1,E02001170,0.004977065,1
1,E02001171,0.000839697,1
1,E02001172,0.001370222,1
1,E02001173,0.002243389,1
1,E02001174,0.000796749,1
1,E02001175,0.001194993,1
1,E02001176,0.002057394,1
1,E02001177,0.002764708,1
1,E02001178,0.002559867,1
1,E02001179,0.000714947,1
1,E02001180,0.000715077,1
1,E02001181,0.002336636,1
1,E02001182,0.000939426,1
1,E02001183,0.001568737,1
1,E02001184,0.00241649,1
1,E02001185,0.006800005,1
1,E02001186,0.010652916,1
1,E02001187,0.000848017,1
1,E02001188,0.001320965,1
1,E02001189,0.001766514,1
1,E02001190,0.001542454,1
1,E02001191,0.001475444,1
1,E02001192,0.001114182,1
1,E02001193,0.001552636,1
1,E02001194,0.001460882,1
1,E02001195,0.003388678,1
1,E02001196,0.005758577,1
1,E02001197,0.001398751,1
1,E02001198,0.002915373,1
1,E02001199,0.001637586,1
1,E02001200,0.002039933,1
1,E02001201,0.001222453,1
1,E02001202,0.000915573,1
1,E02001203,0.012995185,1
1,E02001204,0.001561948,1
1,E02001205,0.001311979,1
1,E02001206,0.002934152,1
1,E02001207,0.002648422,1
1,E02001208,0.002125987,1
1,E02001209,0.001034945,1
1,E02001210,0.001215049,1
1,E02001211,0.001564478,1
1,E02001212,0.001183923,1
1,E02001213,0.001924332,1
1,E02001214,0.002167906,1
1,E02001215,0.004677159,1
1,E02001216,0.002006821,1
1,E02001217,0.001387263,1
1,E02001218,0.002498563,1
1,E02001219,0.001536027,1
1,E02001220,0.001382557,1
1,E02001221,0.001423609,1
1,E02001222,0.001827071,1
1,E02001223,0.002669764,1
1,E02001224,0.005293287,1
1,E02001225,0.001999429,1
1,E02001226,0.001904828,1
1,E02001227,0.001375726,1
1,E02001228,0.005785317,1
1,E02001229,0.00399317,1
1,E02001230,0.004540647,1
1,E02001231,0.00571485,1
1,E02001232,0.001192355,1
1,E02001233,0.001839522,1
1,E02001234,0.001028552,1
1,E02001235,0.001360464,1
1,E02001236,0.001094296,1
1,E02001237,0.011777133,1
1,E02001238,0.001787663,1
1,E02001239,0.001510854,1
1,E02001240,0.000859058,1
1,E02001241,0.002721377,1
1,E02001242,0.002382955,1
1,E02001243,0.003676135,1
1,E02001244,0.001284894,1
1,E02001245,0.0020595,1
1,E02001246,0.001295875,1
1,E02001247,0.001346653,1
1,E02001248,0.002318014,1
1,E02001249,0.001125249,1
1,E02001250,0.003079097,1
1,E02001251,0.006409445,1
1,E02001252,0.001906113,1
1,E02001253,0.00239451,1
1,E02001254,0.001051319,1
1,E02001255,0.002750828,1
1,E02001256,0.001831908,1
1,E02001257,0.001974163,1
1,E02001258,0.004546927,1
1,E02001259,0.001398883,1
1,E02001260,0.005254799,1
1,E02001261,0.00166867,1
1,E02001262,0.001259525,1
1,E02001263,0.002813151,1
1,E02001264,0.003135348,1
1,E02001265,0.002702791,1
1,E02001266,0.002674853,1
1,E02001267,0.002089986,1
1,E02001268,0.001500849,1
1,E02001269,0.001918041,1
1,E02001270,0.001568976,1
1,E02001271,0.001823368,1
1,E02001272,0.001773516,1
1,E02001273,0.001469765,1
1,E02001274,0.001562502,1
1,E02001275,0.009422698,1
1,E02001276,0.001844163,1
1,E02001277,0.002353087,1
1,E02001278,0.001220109,1
1,E02001279,0.001351826,1
1,E02001280,0.001407832,1
1,E02001281,0.001946854,1
1,E02001282,0.001479029,1
1,E02001283,0.017138651,1
1,E02001284,0.001639712,1
1,E02001285,0.003139873,1
1,E02001286,0.005539188,1
1,E02001287,0.003822007,1
1,E02001288,0.004740588,1
1,E02001289,0.005846121,1
1,E02001290,0.011101176,1
1,E02001291,0.001933435,1
1,E02001292,0.001838352,1
1,E02001293,0.004533596,1
1,E02001294,0.001333652,1
1,E02001295,0.001027133,1
1,E02001296,0.002655442,1
1,E02001297,0.002845878,1
1,E02001298,0.004120287,1
1,E02001299,0.003603907,1
1,E02001300,0.001311146,1
1,E02001301,0.002641248,1
1,E02001302,0.001405022,1
1,E02001303,0.001791354,1
1,E02001304,0.008412959,1
1,E02001305,0.002013367,1
1,E02001306,0.002162041,1
1,E02001307,0.004860987,1
1,E02001308,0.001744211,1
1,E02001309,0.003873604,1
1,E02001310,0.005148137,1
1,E02001311,0.002900645,1
1,E02001312,0.006272604,1
1,E02001313,0.002127911,1
1,E02001314,0.001710298,1
1,E02001315,0.013933867,1
1,E02001316,0.000931036,1
1,E02001317,0.002904951,1
1,E02001318,0.00333557,1
1,E02001319,0.003542591,1
1,E02001320,0.002285845,1
1,E02001321,0.004154364,1
1,E02001322,0.001507332,1
1,E02001323,0.003032757,1
1,E02001324,0.002208011,1
1,E02001325,0.007115317,1
1,E02001326,0.004753606,1
2,E02001406,0.036910778,1
2,E02001407,0.010152204,1
2,E02001408,0.012790082,1
2,E02001410,0.009528098,1
