model_zone_id,zone_name
1,E02000001
2,E02000002
3,E02000003
4,E02000004
5,E02000005
6,E02000007
7,E02000008
8,E02000009
9,E02000010
10,E02000011
11,E02000012
12,E02000013
13,E02000014
14,E02000015
15,E02000016
16,E02000017
17,E02000018
18,E02000019
19,E02000020
20,E02000021
21,E02000022
22,E02000023
23,E02000024
24,E02000025
25,E02000026
26,E02000027
27,E02000028
28,E02000029
29,E02000030
30,E02000031
31,E02000032
32,E02000033
33,E02000034
34,E02000035
35,E02000036
36,E02000037
37,E02000038
38,E02000039
39,E02000040
40,E02000041
41,E02000042
42,E02000043
43,E02000044
44,E02000045
45,E02000046
46,E02000047
47,E02000048
48,E02000049
49,E02000050
50,E02000051
51,E02000052
52,E02000053
53,E02000054
54,E02000055
55,E02000056
56,E02000057
57,E02000058
58,E02000059
59,E02000060
60,E02000061
61,E02000062
62,E02000063
63,E02000064
64,E02000065
65,E02000066
66,E02000067
67,E02000068
68,E02000069
69,E02000070
70,E02000071
71,E02000072
72,E02000073
73,E02000074
74,E02000075
75,E02000077
76,E02000078
77,E02000079
78,E02000080
79,E02000081
80,E02000082
81,E02000083
82,E02000084
83,E02000085
84,E02000086
85,E02000087
86,E02000088
87,E02000089
88,E02000090
89,E02000091
90,E02000092
91,E02000093
92,E02000094
93,E02000095
94,E02000096
95,E02000097
96,E02000098
97,E02000099
98,E02000100
99,E02000101
100,E02000102
101,E02000103
102,E02000104
103,E02000105
104,E02000106
105,E02000107
106,E02000108
107,E02000109
108,E02000110
109,E02000111
110,E02000112
111,E02000113
112,E02000114
113,E02000115
114,E02000116
115,E02000117
116,E02000118
117,E02000119
118,E02000120
119,E02000121
120,E02000122
121,E02000123
122,E02000124
123,E02000125
124,E02000126
125,E02000127
126,E02000128
127,E02000130
128,E02000131
129,E02000132
130,E02000133
131,E02000134
132,E02000135
133,E02000136
134,E02000137
135,E02000138
136,E02000139
137,E02000140
138,E02000141
139,E02000142
140,E02000144
141,E02000145
142,E02000146
143,E02000147
144,E02000148
145,E02000149
146,E02000150
147,E02000151
148,E02000152
149,E02000153
150,E02000154
151,E02000155
152,E02000156
153,E02000157
154,E02000158
155,E02000159
156,E02000160
157,E02000161
158,E02000162
159,E02000163
160,E02000165
161,E02000166
162,E02000167
163,E02000168
164,E02000169
165,E02000170
166,E02000171
167,E02000172
168,E02000173
169,E02000174
170,E02000175
171,E02000176
172,E02000177
173,E02000178
174,E02000179
175,E02000180
