zone_id,zone_name,zone_description
1,E02001649,E02001649
2,E02001653,E02001653
3,E02001658,E02001658
4,E02001661,E02001661
5,E02006868,E02006868
6,E02001628,E02001628
7,E02001632,E02001632
8,E02001637,E02001637
9,E02001642,E02001642
10,E02001627,E02001627
11,E02001631,E02001631
12,E02001634,E02001634
13,E02001636,E02001636
14,E02001640,E02001640
15,E02006843,E02006843
16,E02001622,E02001622
17,E02001666,E02001666
18,E02001671,E02001671
19,E02001673,E02001673
20,E02001675,E02001675
21,E02001672,E02001672
22,E02004106,E02004106
23,E02006803,E02006803
24,E02006869,E02006869
25,E02001624,E02001624
26,E02001652,E02001652
27,E02006844,E02006844
28,E02001650,E02001650
29,E02001662,E02001662
30,E02001664,E02001664
31,E02001670,E02001670
32,E02001659,E02001659
33,E02001674,E02001674
34,E02001626,E02001626
35,E02001629,E02001629
36,E02001638,E02001638
37,E02001618,E02001618
38,E02001635,E02001635
39,E02001655,E02001655
40,E02001592,E02001592
41,E02001602,E02001602
42,E02001646,E02001646
43,E02001586,E02001586
44,E02001591,E02001591
45,E02001593,E02001593
46,E02001594,E02001594
47,E02001600,E02001600
48,E02001585,E02001585
49,E02001711,E02001711
50,E02001708,E02001708
51,E02001715,E02001715
52,E02001774,E02001774
53,E02001779,E02001779
54,E02001781,E02001781
55,E02001784,E02001784
56,E02001714,E02001714
57,E02001751,E02001751
58,E02001755,E02001755
59,E02001756,E02001756
60,E02001762,E02001762
61,E02001783,E02001783
62,E02001787,E02001787
63,E02001788,E02001788
64,E02001790,E02001790
65,E02001725,E02001725
66,E02001730,E02001730
67,E02001733,E02001733
68,E02001735,E02001735
69,E02006841,E02006841
70,E02001688,E02001688
71,E02001689,E02001689
72,E02001731,E02001731
73,E02001736,E02001736
74,E02001768,E02001768
75,E02001769,E02001769
76,E02001770,E02001770
77,E02001772,E02001772
78,E02001773,E02001773
79,E02001778,E02001778
80,E02001719,E02001719
81,E02001724,E02001724
82,E02001727,E02001727
83,E02001743,E02001743
84,E02001746,E02001746
85,E02001747,E02001747
86,E02001750,E02001750
87,E02001753,E02001753
88,E02001789,E02001789
89,E02001709,E02001709
90,E02001710,E02001710
91,E02001713,E02001713
92,E02001782,E02001782
93,E02001684,E02001684
94,E02001692,E02001692
95,E02001693,E02001693
96,E02001696,E02001696
97,E02001699,E02001699
98,E02001691,E02001691
99,E02006842,E02006842
100,E02001763,E02001763
101,E02001765,E02001765
102,E02001766,E02001766
103,E02001767,E02001767
104,E02001776,E02001776
105,E02001777,E02001777
106,E02001729,E02001729
107,E02001737,E02001737
108,E02001760,E02001760
109,E02001764,E02001764
110,E02001712,E02001712
111,E02001720,E02001720
112,E02001757,E02001757
113,E02001759,E02001759
114,E02001795,E02001795
115,E02001796,E02001796
116,E02001801,E02001801
117,E02001802,E02001802
118,E02001803,E02001803
119,E02001805,E02001805
120,E02001806,E02001806
121,E02001808,E02001808
122,E02001812,E02001812
123,E02001738,E02001738
124,E02001740,E02001740
125,E02001742,E02001742
126,E02001754,E02001754
127,E02001744,E02001744
128,E02001748,E02001748
129,E02001749,E02001749
130,E02001752,E02001752
131,E02001798,E02001798
132,E02001804,E02001804
133,E02001695,E02001695
134,E02001785,E02001785
135,E02001791,E02001791
136,E02001792,E02001792
137,E02001794,E02001794
138,E02001807,E02001807
139,E02001811,E02001811
140,E02001822,E02001822
141,E02001048,E02001048
142,E02001050,E02001050
143,E02001052,E02001052
144,E02001053,E02001053
145,E02001166,E02001166
146,E02001172,E02001172
147,E02006913,E02006913
148,E02006915,E02006915
149,E02001177,E02001177
150,E02001178,E02001178
151,E02001179,E02001179
152,E02001180,E02001180
153,E02001184,E02001184
154,E02001264,E02001264
155,E02001233,E02001233
156,E02001238,E02001238
157,E02001241,E02001241
158,E02001242,E02001242
159,E02001247,E02001247
160,E02001234,E02001234
161,E02001088,E02001088
162,E02001091,E02001091
163,E02001092,E02001092
164,E02001095,E02001095
165,E02001280,E02001280
166,E02001073,E02001073
167,E02001077,E02001077
168,E02001079,E02001079
169,E02001081,E02001081
170,E02001083,E02001083
171,E02001086,E02001086
172,E02001093,E02001093
173,E02001094,E02001094
174,E02001096,E02001096
